photo_names,address,district_name,lat,lon
1,"Английский проспект, 9-11",Адмиралтейский район,59.925221,30.281326
2,"Гражданская улица, 3",Адмиралтейский район,59.928753,30.314718
3,"Загородный проспект, 68",Адмиралтейский район,59.91759,30.32148
4,"Звенигородская улица, 5",Адмиралтейский район,59.920574,30.33795
5,"Мясная улица, 22",Адмиралтейский район,59.919606,30.280058
6,"Псковская улица, 36",Адмиралтейский район,59.918144,30.277626
7,"Рузовская улица, 10-12",Адмиралтейский район,59.916893,30.328831
8,"Старо-Петергофский проспект, 2",Адмиралтейский район,59.914254,30.278563
9,"набережная канала Грибоедова, 97",Адмиралтейский район,59.927268,30.30166
10,"набережная реки Пряжки, 18-20",Адмиралтейский район,59.924648,30.281857
11,"набережная реки Пряжки, 3/1",Адмиралтейский район,59.924881,30.280017
12,"набережная реки Пряжки, 4-6",Адмиралтейский район,59.92667,30.280145
13,"набережная реки Пряжки, 66",Адмиралтейский район,59.919712,30.275561
14,"улица Писарева, 10В",Адмиралтейский район,59.927504,30.285954
15,"улица Писарева, 4",Адмиралтейский район,59.928104,30.285873
16,"улица Писарева, 6-8",Адмиралтейский район,59.927733,30.285976
17,"улица Степана Разина, 6к3",Адмиралтейский район,59.91189,30.266423
18,"12-я линия Васильевского острова, 5",Василеостровский район,59.935962,30.277241
19,"13-я линия Васильевского острова, 2/19",Василеостровский район,59.934734,30.277781
20,"13-я линия Васильевского острова, 6-8",Василеостровский район,59.934969,30.277014
21,"14-я линия Васильевского острова, 11/38",Василеостровский район,59.935872,30.27389
22,"14-я линия Васильевского острова, 5",Василеостровский район,59.934819,30.275134
23,"14-я линия Васильевского острова, 9",Василеостровский район,59.935511,30.274278
24,"15-я линия Васильевского острова, 8/40",Василеостровский район,59.935731,30.272917
25,"16-я линия Васильевского острова, 11",Василеостровский район,59.934817,30.271797
26,"17-я линия Васильевского острова, 4-6",Василеостровский район,59.932084,30.271577
27,"17-я линия Васильевского острова, 8",Василеостровский район,59.934312,30.271331
28,"18-я линия Васильевского острова, 11",Василеостровский район,59.933723,30.26967
29,"18-я линия Васильевского острова, 15/52",Василеостровский район,59.934265,30.268997
30,"18-я линия Васильевского острова, 7",Василеостровский район,59.9332,30.270305
31,"19-я линия Васильевского острова, 6",Василеостровский район,59.932915,30.269677
32,"20-я линия Васильевского острова, 1",Василеостровский район,59.930861,30.269936
33,"20-я линия Васильевского острова, 13",Василеостровский район,59.933182,30.266933
34,"Большой проспект Васильевского острова, 101",Василеостровский район,59.927187,30.241312
35,"Большой проспект Васильевского острова, 34",Василеостровский район,59.936796,30.276746
36,"Большой проспект Васильевского острова, 38",Василеостровский район,59.936039,30.274001
37,"Большой проспект Васильевского острова, 42",Василеостровский район,59.93558,30.27238
