image_a,image_b,winner
65,227,1
315,148,0
133,45,1
148,213,1
24,349,1
75,54,1
295,358,1
296,59,1
239,4,1
20,208,1
214,378,1
238,195,1
167,8,1
380,313,0
401,274,1
171,291,1
269,201,1
88,329,0
56,189,1
364,255,1
167,377,1
85,201,1
203,160,1
360,234,1
325,40,0
365,354,1
334,382,0
155,13,1
127,252,1
362,275,0
51,372,1
246,168,1
139,66,0
124,310,0
88,14,0
170,172,0
284,35,1
62,41,0
40,306,1
345,138,0
375,264,0
330,80,1
278,284,1
26,35,1
293,272,1
252,396,0
359,167,1
381,208,0
96,54,1
15,119,0
62,333,0
318,261,1
396,191,0
69,100,1
286,295,1
35,168,0
133,394,0
308,316,0
370,93,1
192,285,1
204,24,0
218,158,1
124,142,0
90,204,0
333,310,0
97,46,0
96,194,1
140,133,1
236,376,1
13,209,0
35,18,0
349,250,1
263,147,1
148,375,1
386,231,1
147,244,0
214,155,1
318,110,1
356,60,1
374,370,0
310,329,1
133,402,1
209,158,1
19,347,1
2,35,1
232,210,1
17,7,1
264,376,1
207,27,1
172,211,1
272,331,1
348,93,1
344,61,1
32,87,1
345,86,0
45,173,1
125,232,0
166,212,1
103,144,1
131,308,1
21,194,0
221,332,1
394,16,1
189,151,1
306,228,1
138,342,1
60,364,1
329,14,0
37,181,0
353,293,1
223,342,1
121,190,1
346,215,1
214,15,1
117,223,1
122,327,1
386,39,1
225,250,1
90,178,1
113,230,1
121,81,1
394,402,1
306,251,1
19,336,1
282,268,1
366,7,0
167,171,1
228,337,1
215,315,1
59,10,1
251,315,1
357,42,1
166,18,1
92,262,1
181,260,1
316,226,1
194,274,1
103,1,1
75,58,0
213,218,1
370,307,1
278,158,1
358,140,1
162,18,1
327,173,1
69,269,0
223,125,1
378,26,0
262,265,0
217,211,0
293,291,1
81,359,1
364,228,1
370,166,1
306,217,1
133,205,1
178,268,1
340,172,1
313,237,1
188,77,1
354,187,1
336,240,1
243,213,1
243,164,1
361,291,1
224,278,1
186,284,1
342,27,1
192,293,1
7,213,1
361,236,1
193,280,1
70,164,1
392,38,1
188,7,1
42,168,1
136,158,1
51,243,1
45,377,1
225,284,1
189,376,1
111,242,1
59,276,1
128,379,1
56,2,1
62,27,1
227,369,1
149,153,1
17,264,1
122,200,1
199,346,1
306,168,1
84,315,1
41,332,1
350,209,1
146,325,1
188,106,1
161,376,1
24,212,1
180,284,1
255,240,1
264,2,1
149,141,1
293,215,1
220,350,1
38,243,1
159,237,1
350,337,1
171,376,1
189,255,1
372,106,1
347,212,1
330,377,1
318,209,1
198,200,1
4,376,1
340,351,1
330,169,1
23,163,1
118,378,1
