image_a,image_b,winner
183,225,1
353,346,1
215,109,0
228,65,1
79,110,1
259,113,1
255,82,1
18,323,0
340,336,1
20,21,1
336,376,1
25,200,0
255,353,0
334,224,1
223,209,1
340,263,1
255,262,0
228,247,1
79,369,1
158,369,1
20,280,0
183,25,1
169,280,1
7,137,1
215,84,0
363,35,1
150,363,1
110,111,1
54,376,1
362,180,1
5,25,1
183,180,1
158,127,1
369,363,1
109,5,1
381,369,1
137,224,0
4,113,0
113,36,1
147,362,0
40,56,1
259,21,1
79,228,1
4,7,1
375,54,0
211,215,1
147,111,0
365,88,1
110,185,1
180,185,1
375,137,0
263,376,1
139,20,1
300,25,1
21,113,0
211,340,1
20,59,0
375,235,0
136,4,1
56,65,0
215,20,1
18,7,1
362,25,1
300,182,1
169,25,1
158,121,0
139,7,1
146,88,1
59,363,1
261,369,1
225,7,1
5,376,1
137,25,0
334,180,1
381,65,1
127,39,1
82,334,1
25,376,1
247,144,0
224,35,1
150,111,1
369,185,1
375,36,0
166,137,1
47,362,1
144,200,1
35,200,0
169,235,1
185,363,0
225,36,1
35,36,0
88,36,1
40,39,0
228,363,1
300,56,1
331,346,0
183,137,1
25,35,1
375,200,0
261,65,1
51,375,1
200,36,1
110,363,1
101,35,1
369,180,1
65,169,1
262,151,1
375,225,0
136,25,1
247,263,0
146,225,1
386,262,1
259,336,1
21,54,0
7,111,0
208,375,1
166,139,1
225,263,1
209,180,0
59,375,1
39,25,1
113,200,1
56,182,0
67,369,1
40,150,0
353,224,1
59,235,1
386,4,1
88,300,0
56,369,0
183,7,1
56,36,1
59,200,1
4,185,1
148,35,1
88,169,0
84,137,1
150,4,1
263,200,1
346,336,1
121,225,1
362,54,1
386,336,1
346,200,1
386,137,1
144,4,1
146,137,1
85,7,1
54,113,1
224,113,0
280,7,1
362,261,1
331,5,1
228,5,1
25,54,0
353,235,1
148,21,1
365,21,1
121,340,1
39,330,1
336,36,1
169,375,1
109,111,1
137,363,0
151,20,1
180,376,1
340,5,1
54,35,1
280,235,1
39,5,1
102,180,1
365,4,1
110,235,1
180,5,1
137,21,0
151,113,1
182,35,1
247,363,1
262,363,1
47,331,1
225,25,1
225,235,1
129,369,1
244,36,1
137,225,0
35,113,0
82,88,1
235,224,1
54,200,1
183,182,1
166,21,1
151,185,1
215,67,0
263,235,1
263,35,1
340,113,1
300,113,1
65,363,1
25,113,0
65,331,1
7,185,1
365,331,1
150,180,1
127,375,1
101,376,1
54,36,1
386,244,1
211,200,1
261,224,1
110,21,1
79,200,1
340,4,1
177,225,1
261,36,1
4,224,1
185,35,1
144,139,1
340,21,1
244,5,1
177,4,1
240,346,1
47,259,1
2,185,1
381,111,1
336,35,1
263,336,1
182,21,1
148,200,1
146,180,1
21,35,1
381,180,1
148,65,1
46,376,1
166,88,1
111,185,1
67,225,1
215,235,1
208,263,1
78,336,1
151,263,1
147,56,1
150,77,1
56,185,1
209,21,1
331,111,1
183,56,1
259,200,1
381,200,1
353,151,1
261,182,1
