image_a,image_b,winner
399,161,1
237,161,0
268,362,1
257,93,1
28,215,1
139,4,1
140,364,1
2,99,1
117,188,1
232,161,1
184,391,0
347,317,0
24,47,1
172,363,1
33,88,1
153,161,1
161,250,1
231,318,1
333,344,1
221,119,1
146,70,1
14,155,0
321,364,1
396,370,0
177,95,1
356,71,1
242,327,1
43,377,1
238,255,0
140,255,1
208,377,0
326,397,1
307,230,0
365,283,1
280,363,1
368,183,0
167,192,0
340,161,0
365,267,1
399,303,0
7,331,1
177,265,0
140,340,1
341,339,1
187,98,0
349,205,0
168,308,1
205,242,1
173,231,0
53,378,1
142,213,1
22,93,0
170,294,1
208,147,1
277,165,1
232,183,0
84,144,1
250,324,0
76,23,0
57,231,1
240,88,1
214,269,1
205,346,1
379,15,1
81,56,1
275,234,1
226,160,1
56,4,0
163,402,1
260,342,1
73,247,1
122,250,1
62,231,1
53,139,1
128,242,1
73,253,0
346,364,1
237,250,0
345,259,0
349,371,1
139,364,1
309,214,1
147,257,0
260,363,1
398,226,1
128,100,1
43,105,0
88,268,1
161,269,1
225,240,1
231,207,1
299,303,1
280,239,1
396,381,1
55,172,1
285,23,1
344,214,0
49,248,1
286,148,0
360,340,1
188,231,1
378,238,1
172,268,1
85,331,1
72,80,1
365,163,1
293,161,1
288,218,1
101,56,1
354,332,1
100,203,1
101,332,1
1,346,1
332,124,1
128,327,1
394,361,1
31,139,1
318,371,1
153,250,1
4,164,1
229,27,1
244,295,1
158,268,1
79,160,1
183,252,1
343,307,1
264,268,1
226,402,1
201,269,1
163,207,1
363,362,1
265,237,1
299,248,1
336,243,1
15,247,1
205,207,1
365,378,1
364,160,1
321,27,1
49,294,1
162,240,1
348,371,1
366,399,1
94,55,1
229,293,1
165,161,1
63,158,1
243,161,1
299,138,1
150,378,1
316,381,1
76,245,1
360,138,1
284,165,1
139,237,1
249,364,1
390,74,1
55,18,1
250,160,1
225,100,1
