building_name,coating_deterioration_score,masonry_degradation_score,moisture_bio_damage_score,vandalism_score
208,0.605,0.408,0.208,0.0
333,0.087,0.0,0.315,0.0
45,0.163,0.0,0.007,0.0
369,0.646,0.318,0.636,0.175
89,0.036,0.0,0.052,0.047
20,0.738,0.568,0.063,0.0
275,0.153,0.0,0.122,0.0
212,0.729,0.0,0.583,0.0
239,0.798,0.021,0.764,0.0
150,0.034,0.0,0.29,0.231
109,0.381,0.132,0.051,0.386
149,0.096,0.0,0.074,0.0
187,0.443,0.0,0.258,0.0
355,0.169,0.0,0.405,0.096
342,0.127,0.0,0.388,0.0
377,0.567,0.0,0.261,0.0
272,0.39,0.0,0.011,0.0
270,0.0,0.0,0.011,0.039
182,0.23,0.471,0.084,0.0
215,0.52,0.032,0.59,0.0
185,0.503,0.579,0.198,0.0
243,0.664,0.0,0.426,0.0
153,0.166,0.0,0.563,0.0
189,0.175,0.0,0.153,0.0
143,0.035,0.0,0.032,0.0
327,0.113,0.0,0.392,0.019
253,0.494,0.0,0.699,0.0
343,0.425,0.0,0.172,0.0
115,0.075,0.0,0.102,0.002
131,0.194,0.0,0.209,0.313
5,0.353,0.906,0.289,0.0
366,0.423,0.0,0.536,0.252
151,0.26,0.5,0.024,0.0
260,0.178,0.0,0.228,0.0
202,0.137,0.0,0.111,0.0
84,0.152,0.084,0.121,0.051
237,0.833,0.0,0.949,0.0
273,0.101,0.049,0.014,0.0
286,0.156,0.0,0.269,0.0
283,0.523,0.0,0.254,0.0
85,0.051,0.0,0.336,0.106
359,0.231,0.0,0.307,0.0
265,0.196,0.0,0.109,0.0
289,0.159,0.0,0.146,0.0
118,0.119,0.0,0.061,0.292
361,0.295,0.0,0.441,0.204
82,0.182,0.323,0.107,0.0
295,0.249,0.0,0.497,0.0
176,0.0,0.0,0.014,0.0
279,0.086,0.0,0.011,0.0
30,0.223,0.0,0.159,0.0
97,0.174,0.0,0.123,0.008
334,0.258,0.028,0.285,0.0
106,0.444,0.0,0.294,0.31
163,0.97,0.0,0.498,0.0
113,0.224,1.0,0.06,0.0
160,0.214,0.0,1.0,0.0
38,0.216,0.0,0.0,0.0
349,0.388,0.0,0.341,0.0
328,0.037,0.0,0.048,0.0
211,0.798,0.0,0.164,0.0
42,0.524,0.0,0.125,0.0
291,0.942,0.0,0.41,0.0
197,0.096,0.0,0.054,0.0
33,0.508,0.036,0.585,0.0
234,0.222,0.0,0.149,0.0
178,0.281,0.0,0.015,0.0
271,0.13,0.0,0.003,0.0
251,0.411,0.0,0.217,0.064
130,0.03,0.0,0.016,0.025
278,0.915,0.0,0.202,0.023
156,0.137,0.0,0.01,0.0
380,0.294,0.0,0.103,0.357
120,0.012,0.0,0.016,0.0
35,1.0,1.0,0.308,0.0
290,0.096,0.015,0.012,0.0
190,0.229,0.0,0.36,0.0
124,0.114,0.0,0.563,0.0
353,0.306,0.0,0.306,0.005
191,0.216,0.0,0.019,0.0
379,0.773,0.0,0.535,0.174
73,0.079,0.0,0.486,0.254
313,0.224,0.0,0.083,0.024
188,0.311,0.0,0.163,0.0
274,0.107,0.0,0.012,0.0
98,0.27,0.0,0.299,0.0
375,0.605,0.552,0.292,0.0
396,0.152,0.0,0.098,0.21
41,0.082,0.0,0.104,0.204
248,0.279,0.0,0.924,0.526
123,0.047,0.031,0.015,0.404
230,0.384,0.0,0.275,0.0
256,0.133,0.0,0.081,1.0
247,0.613,0.054,0.694,0.207
94,0.0,0.0,0.064,0.778
362,0.145,0.435,0.942,0.0
221,0.171,0.0,0.223,0.0
167,0.493,0.0,0.25,0.0
227,0.314,0.058,0.342,0.0
112,0.018,0.0,0.033,0.0
372,0.173,0.0,0.018,0.501
388,0.032,0.0,0.047,0.0
193,0.131,0.0,0.011,0.0
374,0.252,0.0,0.108,0.0
