n_layers,hidden,dropout,lr,wd,lambda_smooth,drop_edge_p,use_lp,huber_delta,max_epochs,patience,feature_set,session,labeled_fraction,arch,graph_type,k,seed,best_val_mae,naive_mae
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,2,0,0.12394179403781891,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,2,1,0.12352170050144196,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,2,2,0.12321062386035919,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,4,0,0.12512031197547913,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,4,1,0.12272212654352188,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,4,2,0.12255723029375076,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,6,0,0.12309329211711884,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,6,1,0.12065303325653076,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,6,2,0.12084545195102692,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,8,0,0.12138715386390686,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,8,1,0.12031885236501694,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,8,2,0.12064697593450546,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,10,0,0.12088028341531754,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,10,1,0.11907216906547546,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,10,2,0.11944075673818588,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,12,0,0.12246844917535782,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,12,1,0.11988785117864609,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,sage,spatial,12,2,0.12024705857038498,0.15910111367702484
